Brand,Phone,Website,Order by Phone,Order Online,Photo Filename,Order through an online retailer,Established Grocery or Indepedent Health Food store,Farm/Retail Store,Find at Farmers Markets (needs to be broken out from grocery locations)
Cowgirl Creamery,(866) 433-7834,http://www.cowgirlcreamery.com/,No,Yes,Cowgirl_Creamery,,Yes,,
Crazy Richard's,(800) 833-3978,http://www.kremaproducts.com/,Yes,Yes,Crazy_Richard's,Yes,Yes,No,No
Creminelli,(801) 428-1820,http://www.creminelli.com/,No,Yes,Creminelli,No,Yes,No,No
"Creminelli Fine Meats, LLC",(801) 428-1820,http://www.creminelli.com/,No,Yes,"Creminelli_Fine_Meats,_LLC",,Yes,,
Cricket Creek Farm,(413) 458-5888,http://cricketcreekfarm.com/,No,No,Cricket_Creek_Farm,No,Yes,No,No
Crofter's,,http://www.croftersorganic.com/,No,Yes,Crofter's,,Yes,No,No
Crown Prince Natural,(800) 447-2524,http://www.crownprince.com/,No,No,Crown_Prince_Natural,Yes,Yes,,
Cruze Farm,(865) 363-0631,http://www.cruzefarmgirl.com/,No,No,Cruze_Farm,No,Yes,,
CultureBiota,,,No,No,CultureBiota,No,No,,
Cultures for Health,(800) 962-1959,www.culturesforhealth.com,Yes,Yes,Cultures_for_Health,,Yes,No,No
Custom Probiotics,(800) 219-8405,www.customprobiotics.com,Yes,Yes,Custom_Probiotics,,No,No,No
D and S Ranches,(559) 847-0444,http://www.almonds-from-california.com,No,Yes,D_and_S_Ranches,No,No,No,No
D'Artagnan,(800) 327-8246,http://www.dartagnan.com/,Yes,Yes,D'Artagnan,,Yes,Yes,No
Dairy Connection,(608) 242-9030,http://www.getculture.com/,Yes,Yes,Dairy_Connection,,No,No,No
Dancing Star,(413) 625-8300,http://chunksofenergy.com/,No,Yes,Dancing_Star,No,Yes,Yes,No
Dandy Blend,(800) 697-4858,www.dandyblend.com,No,Yes,Dandy_Blend,,Yes,,
Danielle,,http://www.daniellechips.com/,No,No,Danielle,Yes,Yes,,
Danisco,,http://www.danisco.com,No,No,Danisco,Yes,No,No,No
Danlac,(403) 948-4644,http://www.danlac.com/,Yes,Yes,Danlac,,No,No,No
Dansk Farms,(407) 965-5551,www.danskfarms.com,No,Yes,Dansk_Farms,,No,,
Dastony,(800) 518-0727,http://www.dastony.com/,Yes,Yes,Dastony,,No,,
Dave's,(888) 454-8862,http://davesalbacore.com,Yes,Yes,Dave's,,No,,
David Wolfe Foods,(805) 870-5756,http://www.longevitywarehouse.com,No,Yes,David_Wolfe_Foods,No,No,No,No
De Nigris,,http://en.acetobalsamico.it/,No,No,De_Nigris,Yes,Yes,No,No
Deck Family Farm,(541) 998-4697,http://www.deckfamilyfarm.com/,No,Yes,Deck_Family_Farm,,Yes,No,No
Deep Sea,,,No,No,Deep_Sea,Yes,Yes,No,No
DeLallo,(800) 433-9100,http://www.delallo.com/,No,Yes,DeLallo,,Yes,,
DeLand Bakery,(386) 734-7553,http://www.delandbakery.com/,Yes,Yes,DeLand_Bakery,,Yes,No,No
DeLouis Fils,,http://www.delouis.com/,No,Yes,DeLouis_Fils,,Yes,,
Devon Cream Company,,https://www.facebook.com/TheDevonCreamCompany,No,No,Devon_Cream_Company,Yes,Yes,No,No
Diestel,(888) 446-2253,http://www.diestelturkey.com/,No,No,Diestel,No,Yes,,
Dietrich's,(610) 756-6344,http://www.dietrichsmeats.com/,Yes,,Dietrich's,,,No,No
Diviana Alchemy,(360) 981-2328,http://www.divianaalchemy.com/,No,Yes,Diviana_Alchemy,,No,,
Divine Organics,(415) 884-4477,http://divineorganics.com,No,Yes,Divine_Organics,Yes,No,,
Doctor Kracker,(972) 633-1100,http://drkracker.com/,No,Yes,Doctor_Kracker,Yes,Yes,No,No
Double Diamond Ranch,(541) 853-2320,http://doublediamondranch.netbiz.com/,Yes,No,Double_Diamond_Ranch,No,No,No,No
Dr. Bronner's,(877) 786-3649,http://www.drbronner.com,Yes,Yes,Dr._Bronner's,,Yes,Yes,Yes
Dr. Cow,(718) 486-5919,http://www.dr-cow.com,No,Yes,Dr._Cow,Yes,Yes,,Yes
Dr. Ron's,(877) 472-8701,http://www.drrons.com,Yes,Yes,Dr._Ron's,,No,No,No
Dr. Tima's,,,No,No,Dr._Tima's,Yes,Yes,Yes,Yes
Dr. Vita,(800) 211-4188,www.drvita.com,Yes,Yes,Dr._Vita,,No,Yes,Yes
Drakes Bay Family Farms,(415) 669-1149,http://www.drakesbayoyster.com,No,No,Drakes_Bay_Family_Farms,No,Yes,No,No
Dream Foods International,(8779) 865-2266,http://www.dreamfoods.com,No,No,Dream_Foods_International,Yes,Yes,Yes,No
Dreaming Cow Creamery,2298592677,http://www.dreamingcow.com/,No,No,Dreaming_Cow_Creamery,No,Yes,No,No
Driftless Organics,(608) 624-3735,http://www.dutchvalleyfoods.com,No,No,Driftless_Organics,No,Yes,Yes,No
Dutch Valley Foods,(800) 733-4191,,No,No,Dutch_Valley_Foods,Yes,Yes,Yes,No
Eagle's Sugar Camp,(540) 396-6126,,Yes,No,Eagle's_Sugar_Camp,No,Yes,No,No
Earth Circle Organics,(877) 922-3663,www.earthcircleorganics.com,Yes,Yes,Earth_Circle_Organics,,No,No,No
Earth Salt,(888) 725-8386,http://earth-salt.com,Yes,No,Earth_Salt,No,No,Yes,No
East of Eden Farms,(828) 713-1538,www.eastofedenfarm.com,Yes,Yes,East_of_Eden_Farms,,Yes,No,No
East Wind Nut Butters,(417) 679-4682,http://eastwindnutbutters.com,No,No,East_Wind_Nut_Butters,Yes,Yes,,
EatRaw,(866) 432-8729,www.eatraw.com,Yes,Yes,EatRaw,,No,Yes,Yes
Ebeehoney.com,(419) 289-6701,http://www.Ebeehoney.com,Yes,Yes,Ebeehoney.com,,No,Yes,
Echire,(1800) 522-8427,www.markys.com,Yes,Yes,Echire,,No,No,No
Echo Falls,(206) 285-6800,http://www.oceanbeauty.com/our-brands-2/echo-falls/,No,No,Echo_Falls,No,Yes,,
Eden Foods,(888) 424-3336,http://www.edenfoods.com,No,Yes,Eden_Foods,No,Yes,No,No
Edward & Sons,(805) 684-8500,http://www.edwardandsons.com/,No,Yes,Edward_&_Sons,,Yes,No,No
Eggland's Best,(800) 922-3447,egglandsbest.com,No,No,Eggland's_Best,No,Yes,Yes,Yes
Einkorn,(208) 557-4351,http://www.einkorn.com,No,Yes,Einkorn,,No,No,No
El Sabroso,(626) 336-7711,http://www.snakking.com/elsabroso.aspx,No,Yes,El_Sabroso,Yes,Yes,,
Eliki,(310) 379-0756,http://www.elikioliveoil.com,Yes,Yes,Eliki,,No,Yes,No
Emerald Cove,(800) 334-5809,great-eastern-sun.com,No,Yes,Emerald_Cove,,Yes,,
Emperor's Kitchen,(800) 334-5809,great-eastern-sun.com,Yes,Yes,Emperor's_Kitchen,,No,No,No
Epic Bar,none,http://www.epicbar.com/,No,Yes,Epic_Bar,No,Yes,No,No
Equal Exchange,(774) 776-7333,equalexchange.coop,Yes,Yes,Equal_Exchange,,No,,
Erivan,(215) 887-2009,erivandairy.com/_,No,Yes,Erivan,,Yes,Yes,Yes
Essential Eating,(570) 586-1557,http://essentialeating.com/,No,Yes,Essential_Eating,,Yes,No,No
Essential Living Foods,(310) 319-1555,http://essentiallivingfoods.com,No,Yes,Essential_Living_Foods,No,Yes,No,No
EVOLve Nuts & Seeds,(603) 475-5095,http://www.willnroses.com,No,Yes,EVOLve_Nuts_&_Seeds,No,Yes,,
Exotic Superfoods,(917) 685-2586,http://www.exoticsuperfoods.com,No,No,Exotic_Superfoods,Yes,No,,
Explore Asian,(888) 208-9471,http://www.explore-asian.com,No,No,Explore_Asian,Yes,Yes,No,No
Fab Ferments,(513) 236-9779,http://fabulousferments.com/,Yes,Yes,Fab_Ferments,No,Yes,No,No
Fabrique Då_lices,(510) 441-9500,http://fabriquedelices.com/,No,Yes,Fabrique_Då_lices,,Yes,No,No
FAGE,(1866) 962-5912,http://www.fageusa.com/,No,Yes,FAGE,,Yes,,
Fairview Farm,(503) 623-4744,http://fairviewfarmdairy.com/,No,No,Fairview_Farm,No,Yes,No,No
Faithful Farm,(217) 336-4036,,Yes,No,Faithful_Farm,No,No,,
Family Cow Farm,(717) 786-0131,,Yes,No,Family_Cow_Farm,No,No,No,No
Farm Fromage,(717) 314-1373,farmfromage.com,Yes,No,Farm_Fromage,No,Yes,,
Farmer to Family,(920) 507-1000,http://www.farmertofamilyorganics.com/,Yes,No,Farmer_to_Family,No,No,No,No
Farmers' Hen House,(319) 683-2206,http://www.farmershenhouse.com/,No,No,Farmers'_Hen_House,No,Yes,No,No
Farmhouse Culture,(831) 466-0499,http://farmhouseculture.com/,No,Yes,Farmhouse_Culture,Yes,Yes,No,No
"Farmstead Fresh, Inc.",(800) 780-7303,http://www.farmsteadfresh.com,Yes,Yes,"Farmstead_Fresh,_Inc.",No,Yes,No,No
Faux Joe,(610) 587-7301,http://www.farmatcoventry.com/,No,Yes,Faux_Joe,,No,No,No
Fayette Creamery,(608) 776-3716,https://www.facebook.com/BrunkowCheese,Yes,No,Fayette_Creamery,No,Yes,,
Fiedler Family Farms,(812) 836-4348,www.fiedlerfamilyfarms.com,Yes,No,Fiedler_Family_Farms,No,No,No,Yes
Field Day,,http://www.fielddayproducts.com,No,Yes,Field_Day,,Yes,,
Fields of Athenry Farm,(703) 926-8444,fieldsofathenryfarm.com,No,Yes,Fields_of_Athenry_Farm,,No,,
Finger Lakes Dexter Creamery,(315) 364-3581,www.kefircheese.com,No,Yes,Finger_Lakes_Dexter_Creamery,,Yes,No,No
Finn Crisp,,http://www.finncrisp.com/,No,Yes,Finn_Crisp,,Yes,No,No
Firefly Kitchens,(206) 436-8399,www.fireflykitchens.com,No,No,Firefly_Kitchens,No,Yes,,
First Field,,http://www.first-field.com/,No,Yes,First_Field,Yes,Yes,No,No
Fishhugger,(602) 286-9233,www.fishhugger.com,Yes,No,Fishhugger,No,No,No,No
Flack Family Farm,(802) 933-7752,www.flackfamilyfarm.com,Yes,No,Flack_Family_Farm,No,Yes,No,No
Flavorganics,8669726879,http://www.flavorganics.com/,Yes,Yes,Flavorganics,No,No,No,No
Flora,(888) 593-8333,http://www.florahealth.com/home_usa.cfm,No,,Flora,Yes,Yes,No,Yes
Flour of Life - Blue Mountain Organics,(540) 745-5040,http://www.bluemountainorganics.com/flouroflife/,No,Yes,Flour_of_Life_-_Blue_Mountain_Organics,Yes,Yes,,
Fluit Family Farms,(541) 432-5071,fluitfamilyfarms.com,Yes,No,Fluit_Family_Farms,No,No,,
Flying Pigs Farm,(518) 854-3844,flyingpigsfarm.com,No,Yes,Flying_Pigs_Farm,,Yes,Yes,
Food for Life,(1800) 797-5090,http://www.foodforlife.com/,No,Yes,Food_for_Life,,Yes,No,No
Foods Alive,(260) 488-4497,www.foodsalive.com,No,Yes,Foods_Alive,,Yes,No,No
Foxhollow Farm,(502) 241-9674,www.foxhollow.com,No,Yes,Foxhollow Farm,,No,No,No
"Frank's Finest, LLC",,http://franksfinestllc.com/wordpress/,No,Yes,"Frank's_Finest,_LLC",No,No,No,No
Frank's RedHot,(1800) 841-1256,http://www.franksredhot.com,No,Yes,Frank's_Red_Hot_Original,,Yes,,
Frenzs,(1877) 777-0613,http://www.frenzs.co.nz/,No,No,Frenzs,No,Yes,,
Frey Vineyards,(707) 485-5177,www.freywine.com,No,Yes,Frey_Vineyards,,Yes,No,No
Fromages.com,,Fromages.com,No,Yes,Fromages.com,,No,No,No
Frontier,(800) 669-3275,http://www.frontiercoop.com,No,Yes,Frontier,,Yes,,
Fruit of the Vine Naturally,,www.fotvn.com/store,No,Yes,Fruit_of_the_Vine_Naturally,,No,,
FruitaBåÙ,(800) 700-9687,http://stretchislandfruit.com/,Yes,Yes,FruitaBåÙ,,Yes,No,No
Full Circle Bison Ranch,(541) 846-1351,www.fullcirclebisonranch.com,Yes,Yes,Full_Circle_Bison_Ranch,,No,Yes,Yes
Funky Monkey,(800) 783-1326,http://www.funkymonkeysnacks.com,Yes,Yes,Funky_Monkey,,Yes,,
Furmano's,(1877) 877-6032,http://www.furmanos.com/,No,No,,Yes,Yes,No,No
Futters,(1877) 772-2155,http://www.futtersnutbutters.com/,No,Yes,Futters,,Yes,No,No
Garden of Life,(800) 622-8986,www.gardenoflife.com/_,No,No,Garden_of_Life,Yes,Yes,No,No
Garden Time Organic,,http://www.gardentimeorganic.com/,No,No,Garden_Time_Organic,Yes,Yes,No,No
Garrick's,,http://www.realsourdoughbreadrecipe.com/,No,Yes,Garrick's,,No,Yes,No
Gary West Meats,(800) 833-1820,http://www.garywest.com,Yes,Yes,Gary_West_Meats,No,No,,
Gelatin Innovations,(800) 442-8263,www.gelatininnovations.com,Yes,Yes,Gelatin_Innovations,,No,Yes,No
GEM Cultures,(253) 588-2922,www.gemcultures.com,No,Yes,GEM_Cultures,,No,No,No
Genmai Life,(800) 475-3663,http://www.goldminenaturalfoods.com,Yes,Yes,Genmai_Life,,Yes,Yes,No
Gerolsteiner,,http://www.gerolsteiner.com/,No,Yes,Gerolsteiner,,Yes,,
GetKombucha.com,(888) 542-4448,www.GetKombucha.com,Yes,Yes,GetKombucha.com,,No,No,No
GF Harvest,(888) 941-9922,http://glutenfreeoats.com/,Yes,Yes,GF_Harvest,,Yes,,
"Gifts of Nature, Inc.",(888) 275-0003,,Yes,Yes,"Gifts_of_Nature,_Inc.",,Yes,No,No
GimMe,,http://www.gimmehealth.com,No,Yes,GimMe,Yes,No,,
Giving Nature,(215) 794-5903,www.givingnaturefoods.com,No,No,Giving_Nature,No,Yes,Yes,No
Glaser Organic Farms,(305) 238-7747,www.glaserorganicfarms.com,Yes,Yes,Glaser_Organic_Farms,No,No,Yes,Yes
Glendale Farm,,https://www.facebook.com/pages/Glendale-Farm-Organic-Grape-Juice/196680167074165,No,No,Glendale_Farm,Yes,Yes,Yes,No
Glengarry Cheesemaking and Dairy Supply Ltd.,(888) 816-0903,glengarrycheesemaking.on.ca,No,Yes,Glengarry_Cheesemaking_and_Dairy_Supply_Ltd.,,No,,
GloryBee Foods,(800) 456-7923,http://www.glorybee.com,No,Yes,GloryBee_Foods,,No,No,No
Go Raw Real Live Food,(650) 962-9299,http://www.goraw.com,No,Yes,Go_Raw_Real_Live_Food,Yes,Yes,,
GoBio!,(519) 853-2958,www.gobiofood.com,No,Yes,GoBio!,,Yes,No,No
Gold Mine,(800) 475-3663,http://www.goldminenaturalfoods.com,No,No,Gold_Mine,Yes,Yes,No,No
Golden Prairie Oats,(970) 897-2505,http://www.goldenprairieoats.com/,No,No,Golden_Prairie_Oats,No,Yes,No,No
Golden Valley,(888) 270-7147,http://goldenvalleynatural.com/,Yes,Yes,Golden_Valley,,No,No,No
Good Earth Farms,(888) 941-4343,www.goodearthfarms.com,No,Yes,Good_Earth_Farms,,No,No,No
Good Health,(336) 698-3590,http://www.goodhealthnaturalproducts.com/,No,No,Good_Health,Yes,Yes,Yes,Yes
Good's Chips,(610) 367-2253,http://www.goodschips.com/,No,Yes,Good's_Chips,Yes,Yes,,
Gopal's,(866) 646-7257,http://gopalshealthfoods.com/,Yes,Yes,Gopal's,Yes,No,No,No
Gourmet Grassfed,(920) 229-9359,gourmetgrassfedmeat.com,Yes,Yes,Gourmet_Grassfed,,No,No,No
Goya,(508) 949-6100,www.goya.com,No,Yes,Goya,,Yes,Yes,No
Grafton Village Cheese,(800) 472-3866,www.graftonvillagecheese.com,No,Yes,Grafton_Village_Cheese,,Yes,No,No
Grainfields,(888) 539-9781,http://www.grainfieldsaustralia.com/US/index.shtml,Yes,No,Grainfields,Yes,No,,
Grainfields,(718) 788-8783,http://www.grainfieldsus.com/,Yes,Yes,Grainfields,No,No,Yes,No
Grandma Utz's,(888) 744-7889,http://www.utzsnacks.com,Yes,Yes,Grandma_Utz's,,Yes,Yes,Yes
Grass Point Farms,(888) 299-8553,,No,Yes,Grass_Point_Farms,No,Yes,,
Grass Run Farms,(563) 277-0052,www.grassrunfarms.com,No,Yes,Grass_Run_Farms,,Yes,No,No
Grassfields LLC,(616) 997-8251,www.grassfieldscheese.com,No,Yes,Grassfields_LLC,No,Yes,Yes,Yes
GrassRoots Meats,(800) 681-2260,grassrootsmeats.com,Yes,Yes,GrassRoots_Meats,,No,,
Grassy Way Organics,(608) 753-2399,,Yes,,Grassy_Way_Organics,No,No,No,Yes
Grateful Harvest,(856) 241-9090,www.gratefulharvest.com,No,No,Grateful_Harvest,No,Yes,No,No
Grazin' Acres,(608) 727-2904,,Yes,No,Grazin'_Acres,No,No,,
Great Eastern Sun,(800) 334-5809,great-eastern-sun.com,Yes,Yes,Great_Eastern_Sun,,No,Yes,No
Great Hill Blue,(888) 748-2208,www.greathillblue.com,No,Yes,Great_Hill_Blue,No,No,No,No
Great Lakes,(800) 232-0328,http://www.greatlakesgelatin.com/consumer/index.php,No,Yes,Great_Lakes,,No,,
Great Lakes Brewing Company,(216) 771-4404,www.greatlakesbrewing.com,No,No,Great_Lakes_Brewing_Company,No,Yes,,
Greater Goods,(520) 792-0804,http://www.shoporganic.com/,No,Yes,Greater_Goods,Yes,No,Yes,Yes
Green Acres Farm,(717) 768-3504,,Yes,No,Green_Acres_Farm,No,Yes,No,Yes
Green Hills Farm,(717) 786-8093,,Yes,No,Green_Hills_Farm,No,Yes,No,No
Green Hills Harvest,(660) 244-5858,,Yes,No,Green_Hills_Harvest,No,No,No,No
Green Pasture,(402) 858-4818,http://www.greenpasture.org,No,Yes,Green_Pasture,,No,Yes,
Grimaud Farms,(800) 466-9955,http://www.grimaudfarms.com,No,Yes,Grimaud_Farms,Yes,Yes,,
Grindstone Bakery,(707) 515-6666,www.grindstonebakery.com,No,Yes,Grindstone_Bakery,,No,No,No
GT's,(877) 735-8423,http://www.synergydrinks.com/,No,No,GT's,Yes,Yes,,
Hail Merry,(877) 455-4046,http://www.hailmerry.com/,No,Yes,Hail_Merry,,Yes,Yes,No
Hain,(1866) 595-8917,http://www.hainpurefoods.com/,No,No,Hain,Yes,Yes,No,No
HalleluYah Honey,(775) 267-1451,http://www.halleluyahhoney.com/en/,Yes,Yes,Halleluyah_Honey,,Yes,Yes,Yes
Handy Pantry Sprouting,(1866) 948-4727,http://www.handypantry.com/,Yes,Yes,Handy_Pantry_Sprouting,No,No,No,No
Happy Girl Kitchen Co.,(831) 373-4475,http://happygirlkitchen.com/,No,Yes,Happy_Girl_Kitchen_Co.,No,Yes,,
Happy Herbalist,(888) 425-8827,www.happyherbalist.com,No,Yes,Happy_Herbalist,,No,No,No
Hardwick Beef,(413) 477-6500,http://www.hardwickbeef.com/,No,Yes,Hardwick_Beef,,Yes,,
Harmless Harvest,,http://www.harmlessharvest.com/,No,No,Harmless_Harvest,Yes,Yes,No,No
Hartzler Family Dairy,(330) 345-8190,www.hartzlerfamilydairy.com/_,No,No,Hartzler_Family_Dairy,No,Yes,,
Harvest Bay,(866) 646-4266,www.harvest-bay.com,No,No,Harvest_Bay,No,Yes,,
Harvest Eating,(864) 492-1499,http://www.harvesteating.com/,No,Yes,Harvest_Eating,No,No,Yes,Yes
Hatcher Family Dairy,(615) 368-3405,http://www.hatcherfamilydairy.studio202.net/,No,No,Hatcher_Family_Dairy,No,Yes,,
Hawthorne Valley Farm,(518) 672-7500,http://hawthornevalleyfarm.org/,Yes,Yes,Hawthorne_Valley_Farm,Yes,Yes,Yes,No
Healing Spirits Herb Farm,(607) 566-2701,www.healingspiritsherbfarm.com,No,Yes,Healing_Spirits_Herb_Farm,,No,No,No
Health Valley,(1866) 595-8917,http://www.healthvalley.com/,Yes,Yes,Health_Valley,No,Yes,,
Health-Ade,(424) 888-3054,http://health-ade.com,No,Yes,Health-Ade,No,Yes,Yes,Yes
Hearst Ranch,(866) 547-2624,www.hearstranch.com,Yes,Yes,Hearst_Ranch,,No,No,No
Heavenly Honey Farm,(253) 232-6483,http://heavenlyhoneyfarm.com/,No,No,,No,No,,
Heavenly Organics,(866) 923-2184,www.heavenlyorganics.com,Yes,Yes,Heavenly_Organics,,Yes,No,No
Hå_naff,,henaff.com,No,No,,Yes,,No,No
Hendricks Farms & Dairy,(267) 382-0556,www.hendricksfarmsanddairy.com,No,No,Hendricks_Farms_&_Dairy,No,No,No,No
Henry & Lisa's,(603) 834-6034,http://www.ecofish.com/,No,No,Henry_&_Lisa's,Yes,Yes,No,No
Heritage Foods USA,(718) 389-0985,www.heritagefoodsusa.com,Yes,Yes,Heritage_Foods_USA,,No,No,Yes
Heritage Grain Conservancy,,http://growseed.org/,No,Yes,Heritage_Grain_Conservancy,,No,,
Hidden Pond Farm,(765) 960-5092,www.hiddenpondllc.com,No,Yes,Hidden_Pond_Farm,,Yes,,
Hidden Springs Creamery,(608) 606-3840,http://hiddenspringscreamery.com,Yes,Yes,,No,Yes,No,No
High Brix Nutrient Dense Foods,(818) 935-9937,http://highnutritionfood.com/,No,Yes,High_Brix_Nutrient_Dense_Foods,No,No,No,No
High Country Kombucha,(970) 328-1827,www.hckombu.com,No,No,High_Country_Kombucha,No,Yes,No,No
High Sierra,(919) 449-3019,http://highsierrabeef.com/,Yes,No,High_Sierra,No,No,,
High Wire Ranch,(970) 835-7600,www.highwireranch.com,Yes,No,High_Wire_Ranch,No,No,Yes,Yes
Higher Power,(877) 684-8763,http://www.higherpower.biz/,Yes,Yes,Higher_Power,No,No,No,No
Highland Sugarworks,(800) 452-4012,http://highlandsugarworks.com/home/,No,No,Highland_Sugarworks,Yes,No,No,No
Hilltop Meadow Farm,(570) 345-3305,,Yes,No,Hilltop_Meadow_Farm,No,Yes,No,No
Hol-Grain,(800) 551-3245,http://conradricemill.com/,No,Yes,Hol-Grain,Yes,Yes,No,No
Homestead Creamery,(540) 721-2045,,No,No,Homestead_Creamery,No,Yes,No,No
Homestead Natural Foods,(208) 880-8923,homesteadnatural.com/_,No,Yes,Homestead_Natural_Foods,,Yes,,
Homesteader's Supply,(928) 583-0254,www.homesteadersupply.com,No,Yes,Homesteader's_Supply,,No,Yes,No
Honest Ade,(800) 865-4736,http://www.honesttea.com/,No,No,Honest_Ade,Yes,Yes,,
Honest Body,(802) 388-2448,http://www.honestbody.com/,No,Yes,Honest_Body,No,No,No,No
Honest Potato Chips,(303) 619-8056,http://www.honestchips.com/,No,Yes,Honest_Potato_Chips,No,Yes,No,No
Honey Gardens Apitherapy,(802) 877-6766,http://www.honeygardens.com/,No,Yes,Honey_Gardens_Apitherapy,,No,No,No
Honey in the Rough,,,No,No,Honey_in_the_Rough,Yes,Yes,No,No
Honey Pacifica,(562) 938-9706,www.honeypacifica.com/,No,Yes,Honey_Pacifica,No,Yes,Yes,Yes
