Category,Best,Good,Avoid
Milk,"Clean raw whole milk from certified healthy, grass-fed animals, cow milk preferably from oldfashioned breeds that produce high-fat milk, such as Jerseys and Guernseys. This usually must be purchased directly from a farmer or through a cow-share program or co-op.","Full-fat pasteurized non-homogenized milk
from grass-fed animals","Lowfat and skim milk; ultra-pasteurized milk; homogenized milk; flavored milk like chocolate milk; milk from animals that are not grass-fed; processed imitation milk made from soy, rice, almonds, oats, hemp, etc."
Fresh Cheese,"Raw whole cottage cheese, cream cheese and
fresh cheese from grass-fed animals, with no additives.","Whole cottage cheese, cream cheese and
fresh cheese from pasteurized non-homogenized milk,
preferably grass-fed, with no additives.","All lowfat and fat-free cottage cheese, cream
cheese and fresh cheese, and those made with additives; cottage cheese, cream cheese and fresh cheese made from homogenized milk and/or cream."
Aged Cheese,"Whole raw milk cheese made with milk from grassfed animals, using animal rennet or organic non-GMO
vegetable rennet. Many imported and artisan cheeses
are of this type. (European cheeses are raw if the label
says milk or fresh milk.). If smoked, must be naturally smoked.","Whole raw milk cheese from
animals not grass-fed, whole milk cheese made from
heated or pasteurized milk, preferably from grass-fed
animals. Note: Some cheeses labeled raw are actually made from milk that has been heated to just below the pasteurizing point, and have been categorized as ÔGoodÕ","Lowfat and processed cheese; cheese slices;
cheese spreads and other cheese-like substances; imitation cheese made from soy, almonds and rice; cheese made from homogenized milk; smoked cheese made with smoke flavoring or liquid smoke."
Cream,"Fresh or cultured raw cream from grass-fed
animals. As with raw milk, this usually must be purchased directly from a farmer or through a cow-share
program or co-op.","Pasteurized non-homogenized cream, cultured cream and sour cream without additives.","Ultra-pasteurized cream; homogenized
cream, cultured cream and sour cream; sour cream with
additives; canned whipped cream; imitation whipped
cream made with vegetable oils; non-dairy creamers."
Yogurt & Kefir,"Plain, naturally cultured yogurt and kefir, preferably raw, without additives, made with whole milk
from grass-fed animals.","Plain, whole yogurt and kefir.","Lowfat and sweetened yogurt and kefir;
yogurt and kefir from homogenized milk."
Butter & Ghee,Raw butter from grass-fed animals.,"Pasteurized butter and ghee (clarified butter), preferably grass-fed.","Margarines and spreads; partially hydrogenated vegetable oil; shortenings; spreads combining
butter with vegetable oils; whipped butter."
Eggs,"Fresh eggs from pastured poultry, preferably
soy-free and fertile.",Organic or high-omega-3 eggs.,"Most commercial eggs, but if this is all that
is available, buy them anyway, but do not eat them raw."
Fats & Oils,"Organic extra virgin olive oil (unfiltered); virgin
coconut oil; unrefined palm oil; lard from pigs allowed
to graze; tallow and suet from grass-fed cows and
sheep; poultry fat from pastured poultry.","Cold pressed or expeller pressed sesame oil, sunflower oil, peanut oil, macadamia oil, avocado oil, flax oil and high
oleic safflower oil in small amounts; refined palm oil;
refined coconut oil; filtered extra virgin olive oil.","Most commercial vegetable oils including
cottonseed oil, soy oil, corn oil, canola oil, rice bran
oil, hemp oil and grapeseed oil; all margarines, spreads
and partially hydrogenated vegetable shortenings."
Seafood,"Fresh/smoked caviar/roe (no additives); fresh/frozen
ocean fish (esp. herring, mackerel); shellfish in season; fresh/frozen wild shrimp (Maine); Pacific/Alaskan salmon, fresh/frozen; kippered, dried or pickled herring, eel, mackerel and salmon (not canned); dried, salted small fish; trout and catfish from clean water.","Canned tuna without hydrolyzed protein and other additives; canned sardines or anchovies in water
or olive oil; canned Alaskan salmon; canned shellfish; canned roe and caviar without added coloring.","Farmed salmon, catfish and trout; seafood
containing soy oil, vegetable oil, hydrolyzed protein, smoke flavoring or liquid smoke; caviar from China."
Fresh Meat,"Fresh or frozen beef, veal, lamb, poultry, goat and pork, including fat and organ meats, from (preferably soy-free) animals allowed to graze; venison and other game meat. (All consumed with the fat).","Organic or naturally raised poultry, pork, veal
and rabbit; beef, bison, lamb and goat.","Most commercial chicken, turkey and pork,
which is raised in confinement on industrial farms."
Processed Meat,"Sausage, bacon and processed meats from (preferably soy-free) animals allowed to graze, without additives such as MSG, hydrolyzed protein, citric acid, spices, or natural flavors. Pastured meats cured with salt, a small amount of sugar and naturally smoked, or with sodium nitrite and sodium erythorbates or ascorbates.","Sausage, bacon and processed meats made with the help of celery juice, celery powder, celery seed, spinach juice, spinach powder, carrot juice, carrot powder, beet juice, beet powder, sodium nitrate or sodium phosphate but without MSG and other questionable additives.","Most commercial sausage, bacon and processed meats containing MSG, smoke flavoring, liquid smoke, dry milk powder or high levels of additives; processed meats that are high pressure treated."
Pemmican & Jerky,"Pemmican, jerky or other meat snacks made from (preferably soy-free) animals allowed to graze, without additives such as MSG, hydrolyzed protein, citric acid, spices, or natural flavors.  Pastured meats cured with salt, sugar and naturally smoked, or with sodium nitrite and sodium erythorbates or ascorbates.","Pemmican, jerky and other meat snacks made with the help of celery juice, celery powder, celery seed, spinach juice, spinach powder, carrot juice, carrot powder, beet juice, beet powder, sodium nitrate or sodium phosphate but without MSG and other questionable additives.","Most commercial pemmican, jerky and other meat snacks containing MSG, smoke flavoring, liquid smoke, dry milk powder or high levels of additives."
Fruits & Vegetables,"Fresh organic, biodynamic or wild fruits and vegetables, preferably local and in season. Dried organic, biodynamic or wild fruits and vegetables with no added
sugar, oil, additives and preservatives. Unsprayed sea
vegetables, whole or powdered (not capsules).","Fresh fruits and vegetables in season. (Note:
wash well to remove as much pesticide residue as possible.) Frozen organic fruits and vegetables; canned
organic tomato products in BPA-free containers.","Most canned fruits and vegetables; most
Hawaiian papaya (which is genetically engineered)."
Lacto-fermented Vegetables,"Unheated, organic lacto-fermented vegetables made with unrefined salt and/or a culture, not
vinegar.","Non-organic lacto-fermented vegetables;
vegetables cultured with raw vinegar.","All pasteurized or heated pickled vegetables
and sauerkraut."
Lacto-fermentation Starters,"Natural culturing starters for kombucha, dairy
products, bread and vegetables.",N/A,N/A
Grains & Legumes,"Organic dried beans, lentils, whole grains (except Bulgur) including rice and breakfast cereals that must be cooked; wildcrafted wild rice; organic popcorn (pop at home); organic sprouting seeds (except alfalfa and soybean). Grains must be soaked. Soybeans must be fermented. Purchase in sealed packages where possible.","Whole grains (except bulgur) and commercial whole grain breakfast cereals that must be cooked (soaked overnight before cooking); soaked granola; dried beans (soybeans must be fermented) and lentils; whole grain rice; canned legumes; whole grain, buckwheat, corn and brown rice pasta.","Commercial cold breakfast cereals; unsoaked granola; bulgur; white rice and white flour products including pasta; quinoa pasta; non-organic canned beans and similar products; puffed grain products (e.g. rice cakes); factory-made modern soy foods; soybeans (unless fermented), soybean and alfafa sprouting seeds and sprouts."
Bread,"Sourdough or sprouted breads made from freshly ground organic whole grain flour, without additives
such as gluten, soy flour and partially hydrogenated oils.","Whole grain bread, made without additives
such as gluten, soy flour and partially hydrogenated oils.","Most commercial breads, which are based on white flour and contain partially hydrogenated vegetable oils, soy flour or numerous additives. Breads containing brown rice syrup, chocolate, cocoa or cacao."
Flour & Baking Supplies,"Freshly ground and then soaked, organic whole
grain flours; freshly ground organic sprouted/dehydrated grains; aluminum-free baking powder; organic
roasted carob and roasted carob powder.","Organic sprouted flours and baking mixes
made with them; limited use of organic unbleached
white flour.","Unsoaked whole grain flours, bleached white
flour, soy flour and baking mixes made with them;
baking powder containing aluminum; chocolate, cocoa
and cacao."
Crackers,"Sourdough or sprouted crackers made from
freshly ground organic whole grain flour, without additives such as gluten, soy flour, partially hydrogenated
oils and agave.","Whole grain crackers, made without additives, soy flour and partially hydrogenated oils.","Most commercial crackers based on white
flour and containing partially hydrogenated vegetable
oils, soy flour, additives, agave, chocolate, cocoa or
cacao."
Nuts & Seeds,"Fresh organic or wild raw nuts and seeds in sealed packages; organic raw almonds (mail order only); soaked/sprouted organic or wild raw nuts, seeds and butters. Soak raw nuts and seeds in salted water for 6-8 hours, dry in a dehydrator or oven, and store in airtight containers. Keep walnuts in fridge. No hemp.","Fresh raw and dry roasted nuts and seeds; peanut butter made from roasted peanuts, and other nut and seed butters without partially hydrogenated vegetable oils, sugar, agave, chocolate, cocoa, cacao, flavorings or other additives.","Peanut butter, other nut and seed butters
and nut mixtures containing partially hydrogenated
vegetable oils, sugar, agave, chocolate, cocoa, cacao,
flavorings or other additives; hemp seeds and products."
Coconut,"Water, milk and cream extracted from
fresh coconuts; whole canned coconut milk without
additives; canned coconut cream without additives; unsweetened desiccated coconut meat; coconut vinegar.
All canned products preferably in BPA-free containers.","Canned whole coconut milk and cream with
emulsifiers; canned coconut water. *Available in
BPA-free containers.","Lite coconut milk; sweetened coconut
meat; coconut products containing preservatives."
Condiments,"Organic raw vinegars; organic aged balsamic vinegars; raw naturally fermented soy sauce, tamari and miso; arrowroot;
mustard made with natural ingredients; flavoring mixes
made with natural ingredients; organic mirin.","Pasteurized naturally fermented soy sauce, tamari and miso; ketchup sweetened with organic sugar or natural sweeteners; sauces with natural ingredients and without MSG; pasteurized vinegar without natural flavors or caramel.","Most commercial sauces, ketchup and other
condiments; liquid amino acids; bouillon cubes; distilled vinegar."
Salt & Spices,"Unrefined salt (which is light grey, pink, red or beige in color); fresh seasoning herbs; non-irradiated dried seasoning herbs, spices and blends without additives. If smoked, must be naturally smoked.","Non-iodized salt; dried seasoning herbs,spices and blends without additives; blends containing salt.","Iodized salt; MSG; salts, herbs, spices and blends containing MSG, citric acid, hydrolyzed protein or other additives."
Soups & Stocks,"Homemade soups based on homemade stock
(bone broth); homemade stock made with bones of
poultry, beef, lamb, goat, game meats, pork, fish or
bonito flakes.",Canned broth or stock without additives. Best to add 1-2 teaspoons gelatin to these canned broths.,"Most canned and all dehydrated soups, which
are loaded with MSG; stock sold in aseptic boxes;
bouillon cubes."
Snack Foods,"Soaked/dried nuts and seeds; popcorn home-popped in lard, coconut oil or palm oil.","Chips cooked in lard (but may contain additives), avocado, olive, palm or peanut oil; plain pork
rinds; pizza and frozen foods without additives and partially hydrogenated oils.","All chips, popcorn and snack foods cooked
in partially hydrogenated vegetable oils; microwave
popcorn; pizza containing added flavorings, MSG
or partially hydrogenated vegetable oil; snack foods
containing agave, chocolate, cocoa or cacao."
"Cookies, Bars & Muffins","Cookies and bars made with organic natural
sweeteners, soaked or sprouted whole grain flour,
soaked/dried nuts and seeds, and butter, coconut oil
or other traditional fats.","Cookies and bars made with whole grain
flour, butter, palm oil or coconut oil.","Most commercial cookies and bars made
with partially hydrogenated vegetable oils or refined
sweeteners like sugar, high fructose corn syrup and
agave; granola bars; energy bars, especially those
containing soy protein; cookies, bars and muffins
containing chocolate, cocoa or cacao."
Sweeteners,"Organic natural sweeteners such as maple
syrup, maple sugar, molasses, green stevia leaves and
green stevia powder, dehydrated sugar cane juice, malt
syrups, coconut sugar, palm sugar, date sugar, sorghum
syrup and raw honey, preferably unfiltered. (Note: Raw
honey should not be given to babies.)","Non-organic maple syrup and molasses;
organic jams made with natural sweeteners.","White sugar, corn syrup, high fructose corn syrup, brown rice syrup, fructose, agave, yacon syrup,
imitation syrups, heated honey, concentrated fruit
juices, stevia extracts (liquid and powder), artificial
sweeteners such as sucralose (Splenda) and aspartame
(Nutra-sweet and Equal), sugar alcohols, such as xylitol."
Ice Cream,"Homemade ice cream (except chocolate) made with cream from grass-fed cows (preferably raw), egg
yolks and natural sweeteners.","Simple flavors (such as vanilla or pistachio) of commercial ice cream made with rBGH-free
milk, cream, egg yolks and real vanilla. (Note: Unfortunately, all commercial ice cream is made with
homogenized cream and milk.)","Most commercial brands of ice cream made
without cream and those containing extenders, soy
products, antifreeze compounds, powdered milk,
powdered egg yolks, agave, chocolate, cocoa, cacao
or additives."
Beverages,"Lacto-fermented beverages such as kombucha
(made with organic black tea) and kvass; herbal coffee
substitutes; plain mineral water in glass bottles without
added sweeteners.","Naturally brewed soft drinks made without fructose, high fructose corn syrup, stevia leaf extract or natural flavors; organic juices and carbonated juices without natural flavors or added sweeteners; organic herb teas, without natural flavors, citric acid or caffeine; organic unpasteurized beer and organic wine.","Commercial soft drinks made with fructose, high fructose corn syrup, stevia leaf extract or natural flavors; diet drinks; canned, bottled and frozen fruit juices; fluoridated water; coffee; tea (except for organic black tea used to make kombucha); water in plastic bottles; beverages containing agave, chocolate, cocoa or cacao."
Cod Liver Oils and High Vitamin Fish Oils,"High-vitamin fermented cod liver oil and fermented skate
liver oil. Note: Many WAPF Chapter Leaders sell high-vitamin fermented cod liver oil. See www.westonaprice.org/ cod-liver-oil/fclo-from-chapter-leaders.","Processed cod liver oil and fish oil with
natural or synthetic vitamins in the right proportions:
ten or fewer units vitamin A to one unit vitamin D, and
with at least 2,500 IUs of vitamin A and 250 IUs of
vitamin D per teaspoon.","Cod liver oil and fish oil with low levels of
vitamin A and/or low levels of vitamin D."
